,latitude,longitude,cluster,year,District
387,18.5747,80.4569,2,2015,Mulugu
388,17.7424,80.485,0,2015,Bhadradri Kothagudem
389,17.752,80.4864,0,2015,Bhadradri Kothagudem
390,18.54,80.4773,0,2015,Mulugu
391,18.6055,80.4298,0,2015,Mulugu
392,19.1405,78.667,0,2015,Nirmal
393,19.248,78.8266,0,2015,Nirmal
394,19.2463,78.8408,0,2015,Nirmal
395,19.2177,78.8945,0,2015,Nirmal
396,19.1128,78.619,0,2015,Nirmal
397,19.1433,78.6594,0,2015,Nirmal
398,16.0888,78.7928,1,2015,Nagarkurnool
399,16.0811,78.7996,1,2015,Nagarkurnool
400,17.5174,80.6587,0,2015,Bhadradri Kothagudem
401,17.5726,80.5268,1,2015,Bhadradri Kothagudem
402,17.5711,80.5154,1,2015,Bhadradri Kothagudem
403,17.9522,80.4711,1,2015,Bhadradri Kothagudem
404,17.7797,80.5552,1,2015,Bhadradri Kothagudem
405,17.7366,80.2272,1,2015,Mahabubabad
406,17.6845,80.3596,1,2015,Bhadradri Kothagudem
407,17.7925,80.0351,1,2015,Mahabubabad
408,18.0887,80.04,1,2015,Mahabubabad
409,17.7722,80.1044,1,2015,Mahabubabad
410,18.4932,77.8905,1,2015,Kamareddy
411,16.6627,77.8994,1,2015,Mahabubnagar
412,19.0854,78.582,1,2015,Nirmal
413,19.0749,78.5735,1,2015,Nirmal
414,19.0763,78.5834,1,2015,Nirmal
415,18.4412,78.3806,1,2015,Kamareddy
416,18.5399,78.0279,1,2015,Nizamabad
417,18.4587,78.6999,1,2015,Rajanna Sircilla
418,18.9021,77.9856,1,2015,Nirmal
419,19.101,78.8328,1,2015,Nirmal
420,17.5733,77.638,1,2015,Sangareddy
421,19.2023,78.7597,1,2015,Nirmal
422,19.2123,78.7828,0,2015,Nirmal
423,19.2097,78.7629,1,2015,Nirmal
424,19.2083,78.7529,1,2015,Nirmal
425,18.6376,78.0071,1,2015,Nizamabad
426,17.5036,78.0557,1,2015,Sangareddy
427,18.2154,78.0782,1,2015,Kamareddy
428,16.2457,78.8586,1,2015,Nagarkurnool
429,16.2548,78.8573,1,2015,Nagarkurnool
430,19.1356,78.821,1,2015,Nirmal
431,19.1869,78.5239,1,2015,Nirmal
432,19.2131,78.5802,0,2015,Nirmal
433,17.3567,77.9221,1,2015,Vikarabad
434,17.1369,77.9373,1,2015,Vikarabad
435,18.4819,77.9404,1,2015,Kamareddy
436,18.9234,78.4728,1,2015,Nizamabad
437,18.4945,77.9,1,2015,Nizamabad
438,18.6768,78.8293,1,2015,Jagtial
439,16.4615,78.8276,1,2015,Nagarkurnool
440,16.4528,78.8249,1,2015,Nagarkurnool
441,16.4541,78.8344,1,2015,Nagarkurnool
442,18.6785,78.4994,1,2015,Nizamabad
443,17.7051,78.0503,1,2015,Sangareddy
444,17.7141,78.0489,1,2015,Sangareddy
445,19.2109,78.8916,1,2015,Nirmal
446,19.3072,79.1409,1,2015,Komram Bheem
447,18.5446,78.1921,1,2015,Nizamabad
448,19.1417,78.6576,1,2015,Nirmal
449,18.5432,78.1825,1,2015,Nizamabad
450,19.1298,78.6392,1,2015,Nirmal
451,19.374,79.0195,1,2015,Komram Bheem
452,19.1339,78.6689,1,2015,Nirmal
453,19.1076,78.6123,1,2015,Nirmal
454,19.0984,78.6137,1,2015,Nirmal
455,18.7052,78.2232,1,2015,Nizamabad
456,19.08,78.5427,1,2015,Nirmal
457,19.0841,78.5721,1,2015,Nirmal
458,18.0506,80.1238,0,2015,Mahabubabad
459,18.5983,80.4315,0,2015,Mulugu
460,18.599,80.4245,0,2015,Mulugu
461,17.8615,80.3101,1,2015,Bhadradri Kothagudem
462,19.0096,79.2564,0,2015,Mancherial District
463,17.8489,80.2889,0,2015,Bhadradri Kothagudem
464,17.449,80.0657,1,2015,Mahabubabad
465,17.4527,80.0584,1,2015,Mahabubabad
466,17.7478,80.2366,0,2015,Mahabubabad
467,17.9204,80.1545,1,2015,Mahabubabad
468,19.2074,78.7766,2,2015,Nirmal
469,16.099,78.6366,2,2015,Nagarkurnool
470,19.2901,78.7527,0,2015,Adilabad
471,19.1877,78.7751,2,2015,Nirmal
472,16.0949,78.5454,0,2015,Nagarkurnool
473,19.1919,78.8248,0,2015,Nirmal
474,18.3344,80.1891,0,2015,Mulugu
475,18.1507,80.8292,0,2015,Bhadradri Kothagudem
476,17.6329,80.1725,0,2015,Mahabubabad
477,18.44,80.5963,0,2015,Mulugu
478,18.4489,80.5948,0,2015,Mulugu
479,18.4476,80.5855,0,2015,Mulugu
480,18.4565,80.5841,0,2015,Mulugu
481,17.6563,80.2071,0,2015,Mahabubabad
482,18.5171,80.559,0,2015,Mulugu
483,17.922,80.7726,0,2015,Bhadradri Kothagudem
484,17.9131,80.774,0,2015,Bhadradri Kothagudem
485,17.6376,80.465,0,2015,Bhadradri Kothagudem
486,17.6228,80.3624,0,2015,Bhadradri Kothagudem
487,17.8576,80.325,0,2015,Bhadradri Kothagudem
488,18.0008,79.7311,0,2015,Warangal
489,18.1586,80.3732,0,2015,Mulugu
490,17.8152,80.1596,0,2015,Mahabubabad
491,18.1974,80.3796,0,2015,Mulugu
492,17.7542,80.3767,0,2015,Bhadradri Kothagudem
493,18.3978,80.6669,2,2015,Mulugu
494,17.1542,78.363,0,2015,Rangareddy
495,17.1657,77.918,0,2015,Vikarabad
496,17.2548,78.3753,0,2015,Rangareddy
497,17.2541,78.3809,0,2015,Rangareddy
498,17.1584,77.3906,0,2015,Vikarabad
499,16.1893,78.7464,0,2015,Nagarkurnool
500,16.1141,78.7542,2,2015,Nagarkurnool
501,16.1868,78.7417,0,2015,Nagarkurnool
502,16.1292,78.7535,2,2015,Nagarkurnool
503,16.1114,78.7334,2,2015,Nagarkurnool
504,17.6965,80.3921,0,2015,Bhadradri Kothagudem
505,17.9599,78.7985,0,2015,Siddipet
506,16.1193,78.6392,0,2015,Nagarkurnool
507,17.2478,77.9389,1,2015,Vikarabad
508,16.1166,78.6239,0,2015,Nagarkurnool
509,17.3749,80.9448,0,2015,Bhadradri Kothagudem
510,18.611,80.1949,0,2015,Jayashankar Bhupalapally
511,19.2966,78.8404,0,2015,Adilabad
512,19.2779,78.9047,0,2015,Nirmal
513,19.3394,78.6742,0,2015,Adilabad
514,19.3408,78.6649,1,2015,Adilabad
515,19.0025,78.7682,1,2015,Jagtial
516,19.0979,78.6843,1,2015,Nirmal
517,18.468,80.619,0,2015,Mulugu
518,18.457,80.6278,0,2015,Mulugu
519,18.4413,80.6299,0,2015,Mulugu
520,18.5372,80.546,0,2015,Mulugu
521,18.4664,80.6294,0,2015,Mulugu
522,18.1477,80.826,0,2015,Bhadradri Kothagudem
523,17.76,80.7288,0,2015,Bhadradri Kothagudem
524,17.7634,80.7072,0,2015,Bhadradri Kothagudem
525,18.5555,78.0462,1,2015,Nizamabad
526,16.1407,78.6067,0,2015,Nagarkurnool
527,16.1379,78.6254,0,2015,Nagarkurnool
528,16.1111,78.803,0,2015,Nagarkurnool
529,16.1469,78.6268,0,2015,Nagarkurnool
530,16.1819,78.7626,0,2015,Nagarkurnool
531,16.4417,78.8132,0,2015,Nagarkurnool
532,16.1833,78.7532,0,2015,Nagarkurnool
533,16.4431,78.8039,0,2015,Nagarkurnool
534,16.1606,78.6575,0,2015,Nagarkurnool
535,16.1393,78.6161,0,2015,Nagarkurnool
536,16.162,78.6481,0,2015,Nagarkurnool
537,17.9416,80.1615,1,2015,Mahabubabad
538,18.6705,78.8608,0,2015,Jagtial
539,18.6101,78.552,1,2015,Nizamabad
540,16.14,78.6015,0,2015,Nagarkurnool
541,16.3029,78.1533,1,2015,Wanaparthy
542,16.1283,78.603,0,2015,Nagarkurnool
543,18.478,78.6309,1,2015,Rajanna Sircilla
544,16.1419,78.6175,0,2015,Nagarkurnool
545,18.4744,78.6367,1,2015,Rajanna Sircilla
546,16.1304,78.6203,0,2015,Nagarkurnool
